
time,ax,ay,az,wx,wy,wz,
1.119,0.11,0.00,0.03,-0.03,0.00,0.02,
1.12,0.17,0.01,0.02,-0.03,0.00,0.02,
1.12,0.17,0.01,0.02,-0.03,0.01,0.01,
1.12,0.20,-0.00,0.01,-0.03,0.01,0.01,
1.121,0.20,-0.00,0.01,-0.03,0.02,0.01,
1.121,0.19,0.03,-0.01,-0.03,0.02,0.01,
1.122,0.17,0.05,0.01,-0.03,0.02,0.01,
1.122,0.17,0.05,0.01,-0.03,0.04,0.01,
1.122,0.18,0.04,-0.01,-0.03,0.04,0.01,
1.123,0.18,0.04,-0.01,-0.03,0.05,-0.00,
1.123,0.18,0.04,-0.01,-0.03,0.07,-0.00,
1.123,0.15,0.04,-0.00,-0.03,0.07,-0.00,
1.124,0.14,0.03,0.05,-0.03,0.07,-0.00,
1.124,0.14,0.03,0.05,-0.03,0.08,-0.01,
1.124,0.14,0.03,0.05,-0.02,0.09,-0.01,
1.125,0.14,0.02,0.09,-0.02,0.09,-0.01,
1.125,0.17,0.01,0.10,-0.02,0.09,-0.01,
1.126,0.17,0.01,0.10,-0.02,0.09,-0.02,
1.126,0.19,-0.02,0.14,-0.02,0.09,-0.02,
1.126,0.19,-0.02,0.14,-0.01,0.11,-0.03,
1.127,0.19,-0.02,0.14,-0.01,0.12,-0.04,
1.127,0.17,-0.01,0.15,-0.01,0.12,-0.04,
1.128,0.17,-0.01,0.15,0.01,0.12,-0.04,
1.128,0.12,0.01,0.16,0.01,0.12,-0.04,
1.129,0.10,-0.01,0.18,0.01,0.12,-0.04,
1.129,0.10,-0.01,0.18,0.02,0.12,-0.05,
1.129,0.10,-0.01,0.18,0.04,0.13,-0.05,
1.129,0.18,-0.02,0.19,0.04,0.13,-0.05,
1.13,0.18,-0.02,0.19,0.05,0.14,-0.05,
1.13,0.25,-0.02,0.22,0.05,0.14,-0.05,
1.13,0.36,-0.04,0.21,0.05,0.14,-0.05,
1.131,0.36,-0.04,0.21,0.06,0.16,-0.06,
1.157,0.40,-0.03,0.26,0.06,0.16,-0.06,
1.157,0.40,-0.03,0.26,0.07,0.19,-0.07,
1.158,0.40,-0.03,0.26,0.07,0.19,-0.07,
1.158,0.40,-0.03,0.26,0.09,0.22,-0.08,
1.158,0.31,-0.04,0.24,0.09,0.22,-0.08,
1.158,0.31,-0.04,0.24,0.10,0.26,-0.09,
1.159,0.21,-0.10,0.25,0.10,0.26,-0.09,
1.159,0.21,-0.10,0.25,0.12,0.30,-0.11,
1.159,0.21,-0.10,0.25,0.14,0.32,-0.11,
1.16,0.18,-0.13,0.28,0.14,0.32,-0.11,
1.16,0.20,-0.14,0.31,0.14,0.32,-0.11,
1.16,0.20,-0.14,0.31,0.17,0.34,-0.12,
1.161,0.29,-0.18,0.27,0.17,0.34,-0.12,
1.161,0.29,-0.18,0.27,0.21,0.34,-0.12,
1.161,0.29,-0.18,0.27,0.24,0.33,-0.12,
1.161,0.40,-0.19,0.33,0.24,0.33,-0.12,
1.162,0.40,-0.19,0.33,0.27,0.32,-0.13,
1.162,0.44,-0.23,0.37,0.27,0.32,-0.13,
1.162,0.44,-0.23,0.37,0.29,0.30,-0.14,
1.163,0.49,-0.17,0.40,0.29,0.30,-0.14,
1.163,0.50,-0.15,0.42,0.29,0.30,-0.14,
1.163,0.50,-0.15,0.42,0.31,0.27,-0.15,
1.164,0.50,-0.15,0.42,0.33,0.24,-0.16,
1.164,0.41,-0.09,0.43,0.33,0.24,-0.16,
1.164,0.29,-0.10,0.41,0.33,0.24,-0.16,
1.164,0.29,-0.10,0.41,0.34,0.22,-0.17,
1.165,0.16,-0.10,0.41,0.34,0.22,-0.17,
1.165,0.16,-0.10,0.41,0.36,0.20,-0.18,
1.165,-0.01,-0.13,0.38,0.36,0.20,-0.18,
1.166,-0.01,-0.13,0.38,0.37,0.19,-0.19,
1.166,-0.01,-0.13,0.38,0.37,0.19,-0.19,
1.166,-0.09,-0.18,0.38,0.37,0.19,-0.19,
1.167,-0.19,-0.20,0.46,0.37,0.19,-0.19,
1.167,-0.19,-0.20,0.46,0.39,0.20,-0.19,
1.167,-0.18,-0.22,0.53,0.39,0.20,-0.19,
1.168,-0.18,-0.22,0.53,0.40,0.21,-0.19,
1.168,-0.16,-0.22,0.61,0.40,0.21,-0.19,
1.168,-0.16,-0.22,0.61,0.42,0.22,-0.19,
1.169,-0.08,-0.25,0.70,0.42,0.22,-0.19,
1.169,-0.08,-0.25,0.70,0.44,0.24,-0.18,
1.169,-0.08,-0.25,0.70,0.46,0.26,-0.18,
1.17,0.04,-0.28,0.74,0.46,0.26,-0.18,
1.17,0.04,-0.28,0.74,0.48,0.28,-0.18,
1.17,0.12,-0.29,0.75,0.48,0.28,-0.18,
1.17,0.12,-0.29,0.75,0.51,0.32,-0.19,
1.171,0.21,-0.29,0.76,0.51,0.32,-0.19,
1.171,0.21,-0.29,0.76,0.53,0.36,-0.20,
1.171,0.37,-0.32,0.74,0.53,0.36,-0.20,
1.172,0.37,-0.32,0.74,0.55,0.41,-0.21,
1.172,0.56,-0.35,0.82,0.55,0.41,-0.21,
1.172,0.56,-0.35,0.82,0.57,0.46,-0.23,
1.173,0.72,-0.37,0.79,0.57,0.46,-0.23,
1.173,0.85,-0.37,0.80,0.57,0.46,-0.23,
1.173,0.85,-0.37,0.80,0.59,0.52,-0.25,
1.174,0.85,-0.37,0.80,0.61,0.58,-0.28,
1.174,0.91,-0.34,0.80,0.61,0.58,-0.28,
1.174,0.91,-0.34,0.80,0.63,0.66,-0.31,
1.174,1.02,-0.34,0.78,0.63,0.66,-0.31,
1.175,1.02,-0.34,0.78,0.64,0.75,-0.34,
1.175,1.23,-0.47,0.71,0.64,0.75,-0.34,
1.175,1.23,-0.47,0.71,0.65,0.85,-0.37,
1.176,0.87,-0.51,0.87,0.65,0.85,-0.37,
1.176,0.87,-0.51,0.87,0.66,0.94,-0.39,
1.176,0.69,-0.59,0.72,0.66,0.94,-0.39,
1.176,0.44,-0.64,0.68,0.66,0.94,-0.39,
1.177,0.44,-0.64,0.68,0.67,1.03,-0.40,
1.177,0.44,-0.64,0.68,0.69,1.09,-0.39,
1.177,0.22,-0.55,0.52,0.69,1.09,-0.39,
1.178,0.22,-0.55,0.52,0.69,1.13,-0.38,
1.178,-0.14,-0.43,0.32,0.69,1.13,-0.38,
1.178,-0.14,-0.43,0.32,0.70,1.14,-0.36,
1.179,-0.57,-0.38,0.24,0.70,1.14,-0.36,
1.179,-0.63,-0.34,0.06,0.70,1.14,-0.36,
1.179,-0.63,-0.34,0.06,0.71,1.15,-0.33,
1.18,-0.63,-0.34,0.06,0.72,1.11,-0.27,
1.18,-0.74,-0.48,0.13,0.72,1.11,-0.27,
1.18,-0.74,-0.48,0.13,0.76,0.97,-0.23,
1.181,-0.59,-0.45,0.17,0.76,0.97,-0.23,
1.181,-0.59,-0.45,0.17,0.81,0.79,-0.20,
1.181,-0.68,-0.43,0.17,0.81,0.79,-0.20,
1.182,-0.66,-0.37,0.12,0.81,0.79,-0.20,
1.182,-0.66,-0.37,0.12,0.87,0.60,-0.18,
1.182,-0.66,-0.37,0.12,0.92,0.45,-0.17,
1.183,-0.33,-0.30,-0.03,0.92,0.45,-0.17,
1.183,-0.34,-0.36,-0.21,0.92,0.45,-0.17,
1.183,-0.34,-0.36,-0.21,0.96,0.35,-0.16,
1.184,-0.27,-0.39,-0.49,0.96,0.35,-0.16,
1.184,-0.27,-0.39,-0.49,0.98,0.28,-0.16,
1.184,-0.27,-0.39,-0.49,1.00,0.25,-0.16,
1.185,-0.21,-0.23,-0.84,1.00,0.25,-0.16,
1.185,-0.21,-0.23,-0.84,1.01,0.24,-0.18,
1.185,-0.21,-0.19,-1.03,1.01,0.24,-0.18,
1.186,-0.21,-0.19,-1.03,1.01,0.24,-0.20,
1.186,-0.27,-0.32,-1.21,1.01,0.24,-0.20,
1.186,-0.81,-0.46,-1.29,1.01,0.24,-0.20,
1.187,-0.81,-0.46,-1.29,1.00,0.25,-0.22,
1.187,-0.43,-0.61,-1.12,1.00,0.25,-0.22,
1.187,-0.43,-0.61,-1.12,0.99,0.27,-0.21,
1.187,-0.43,-0.61,-1.12,0.99,0.27,-0.20,
1.188,-0.21,-0.71,-0.86,0.99,0.27,-0.20,
1.215,-0.15,-0.71,-0.83,0.99,0.27,-0.20,
1.216,-0.15,-0.71,-0.83,0.99,0.25,-0.21,
1.216,-0.15,-0.71,-0.83,1.00,0.21,-0.22,
1.217,-0.08,-0.73,-0.87,1.00,0.21,-0.22,
1.217,-0.08,-0.73,-0.87,0.98,0.20,-0.23,
1.218,-0.12,-0.75,-0.91,0.98,0.20,-0.23,
1.218,0.07,-0.79,-1.03,0.98,0.20,-0.23,
1.219,0.07,-0.79,-1.03,0.96,0.21,-0.23,
1.219,0.07,-0.79,-1.03,0.93,0.22,-0.24,
1.219,0.12,-0.78,-1.24,0.93,0.22,-0.24,
1.22,0.12,-0.78,-1.24,0.90,0.25,-0.25,
1.22,-0.14,-0.75,-1.52,0.90,0.25,-0.25,
1.221,-0.24,-0.55,-1.88,0.90,0.25,-0.25,
1.221,-0.24,-0.55,-1.88,0.84,0.31,-0.25,
1.222,-0.39,-0.26,-2.12,0.84,0.31,-0.25,
1.222,-0.39,-0.26,-2.12,0.76,0.37,-0.25,
1.222,-0.55,0.01,-2.00,0.76,0.37,-0.25,
1.223,-0.55,0.01,-2.00,0.69,0.39,-0.23,
1.223,-0.55,0.01,-2.00,0.66,0.35,-0.23,
1.224,-0.73,0.29,-1.76,0.66,0.35,-0.23,
1.224,-0.75,0.63,-1.55,0.66,0.35,-0.23,
1.225,-0.75,0.63,-1.55,0.66,0.29,-0.21,
1.225,-0.75,0.63,-1.55,0.67,0.22,-0.18,
1.226,-0.69,0.86,-1.28,0.67,0.22,-0.18,
1.226,-0.69,0.86,-1.28,0.69,0.12,-0.15,
1.226,-0.47,1.05,-1.12,0.69,0.12,-0.15,
1.227,-0.44,1.26,-1.06,0.69,0.12,-0.15,
1.227,-0.44,1.26,-1.06,0.71,0.01,-0.12,
1.228,-0.40,1.41,-1.12,0.71,0.01,-0.12,
1.228,-0.33,1.42,-1.25,0.71,0.01,-0.12,
1.229,-0.33,1.42,-1.25,0.71,-0.08,-0.09,
1.229,-0.33,1.42,-1.25,0.68,-0.15,-0.06,
1.23,-0.33,1.42,-1.25,0.63,-0.21,-0.05,
1.23,-0.51,1.36,-1.52,0.63,-0.21,-0.05,
1.23,-0.99,1.38,-1.71,0.63,-0.21,-0.05,
1.231,-0.99,1.38,-1.71,0.56,-0.27,-0.04,
1.231,-1.46,1.39,-1.77,0.56,-0.27,-0.04,
