time,gFx,gFy,gFz,TgF
1.272000,1.2334,0.7335,0.2592,1.458
1.277000,1.1462,0.8021,0.1591,1.408
1.282000,1.0525,0.8705,0.0736,1.368
1.287000,0.9751,0.9320,0.0089,1.349
1.292000,0.9118,0.9997,-0.0206,1.353
1.297000,0.8628,1.0773,-0.0358,1.381
1.301000,0.8401,1.1332,-0.0277,1.411
1.307000,0.8545,1.1569,-0.0074,1.438
1.312000,0.9028,1.1464,0.0299,1.460
1.316000,0.9756,1.1156,0.1046,1.486
1.322000,1.0339,1.0563,0.2272,1.495
1.326000,1.0903,0.9691,0.4084,1.515
1.332000,1.1531,0.8642,0.6359,1.575
1.344000,1.2144,0.7772,0.8972,1.698
1.344000,1.2676,0.7372,1.1675,1.874
1.345000,1.3225,0.7155,1.4075,2.060
1.351000,1.3931,0.7018,1.5935,2.230
1.377000,1.4988,0.6993,1.6692,2.350
1.378000,1.6980,0.6551,1.7393,2.517
1.378000,1.8387,0.6710,1.7547,2.629
1.379000,1.9608,0.6852,1.7159,2.694
1.380000,2.0711,0.6798,1.6585,2.739
1.380000,2.2005,0.6378,1.6065,2.798
1.391000,2.3502,0.5785,1.6082,2.906
1.392000,2.4911,0.5209,1.6714,3.045
1.394000,2.5658,0.4728,1.7977,3.168
1.399000,2.6029,0.4410,1.9781,3.299
1.404000,2.6388,0.4281,2.2027,3.464
1.409000,2.7240,0.4198,2.4782,3.706
1.414000,2.8727,0.3971,2.7780,4.016
1.418000,3.0436,0.3810,3.0722,4.341
1.424000,3.2058,0.3900,3.3532,4.655
1.428000,3.3515,0.4190,3.6167,4.949
1.433000,3.4910,0.4398,3.8428,5.210
1.441000,3.6401,0.4356,4.0010,5.427
1.442000,3.7742,0.4005,4.0906,5.580
1.447000,3.8538,0.3614,4.0977,5.637
1.468000,3.8750,0.3241,4.0125,5.588
1.468000,3.8474,0.2918,3.8213,5.431
1.469000,3.8186,0.2340,3.5268,5.203
1.469000,3.7993,0.1417,3.1457,4.935
1.475000,3.7515,0.0462,2.7314,4.641
1.477000,3.6795,-0.0283,2.3133,4.346
1.483000,3.6016,-0.0888,1.9246,4.085
1.487000,3.5376,-0.1323,1.5767,3.875
1.493000,3.4892,-0.1555,1.2463,3.708
1.498000,3.4216,-0.1533,0.9533,3.555
1.502000,3.3752,-0.1743,0.6340,3.439
1.506000,3.3545,-0.2126,0.3627,3.381
1.512000,3.2966,-0.2260,0.1906,3.310
1.515000,3.2231,-0.2065,0.0975,3.231
1.522000,3.1381,-0.1928,0.0431,3.144
1.526000,3.0405,-0.2146,0.0155,3.048
1.531000,2.9460,-0.2785,0.0380,2.959
1.539000,2.8576,-0.3415,0.0966,2.880
1.540000,2.7638,-0.3618,0.1752,2.793
1.545000,2.6549,-0.3537,0.2492,2.690
1.550000,2.5248,-0.3374,0.2965,2.564
1.571000,2.4078,-0.3406,0.3288,2.454
1.573000,2.3309,-0.3679,0.3573,2.387
1.573000,2.3019,-0.4246,0.3844,2.372
1.573000,2.2865,-0.4724,0.4069,2.370
1.581000,2.2462,-0.4917,0.4125,2.336
1.581000,2.1732,-0.4934,0.3766,2.260
1.585000,2.0919,-0.4907,0.3361,2.175
1.589000,2.0103,-0.4714,0.2965,2.086
1.594000,1.9642,-0.4568,0.2511,2.032
1.599000,1.9241,-0.4536,0.2062,1.988
1.604000,1.8858,-0.4883,0.1427,1.953
1.609000,1.8221,-0.5613,0.0675,1.908
1.614000,1.7398,-0.6607,-0.0409,1.861
1.619000,1.6297,-0.7586,-0.1852,1.807
1.624000,1.4827,-0.8457,-0.3588,1.744
1.628000,1.2771,-0.9339,-0.5475,1.674
1.633000,1.0068,-1.0140,-0.7668,1.622
1.638000,0.7028,-1.0640,-0.9753,1.605
1.643000,0.3942,-1.0740,-1.1558,1.626
1.648000,0.1173,-1.0420,-1.3230,1.688
1.658000,-0.0795,-0.9666,-1.4702,1.761
1.659000,-0.1747,-0.8697,-1.5826,1.814
1.664000,-0.1691,-0.7644,-1.6773,1.851
1.668000,-0.0756,-0.6665,-1.7547,1.879
1.701000,0.0536,-0.5737,-1.8174,1.907
1.704000,0.1886,-0.4807,-1.8572,1.928
1.704000,0.3175,-0.3970,-1.8773,1.945
1.705000,0.4389,-0.3078,-1.8817,1.957
1.705000,0.5351,-0.2024,-1.8507,1.937
1.706000,0.5749,-0.0908,-1.7877,1.880
1.706000,0.5663,-0.0136,-1.6961,1.788
1.706000,0.5568,-0.0300,-1.5569,1.654
1.711000,0.5471,-0.0974,-1.3772,1.485
1.716000,0.4792,-0.1582,-1.1929,1.295
1.723000,0.3373,-0.1753,-1.0205,1.089
1.726000,0.1725,-0.1904,-0.9038,0.940
1.731000,0.0092,-0.2578,-0.8379,0.877
1.738000,-0.1478,-0.3703,-0.8396,0.929
1.740000,-0.3910,-0.4751,-0.9470,1.129
1.745000,-0.7749,-0.6082,-1.1628,1.524
1.750000,-1.2210,-0.7940,-1.3994,2.020
1.756000,-1.6119,-0.9974,-1.5557,2.452
1.759000,-1.8909,-1.1509,-1.6014,2.732
1.764000,-2.0902,-1.2225,-1.5599,2.880
1.783000,-2.2169,-1.2213,-1.4612,2.923
1.785000,-2.2958,-1.1768,-1.3350,2.905
1.785000,-2.3068,-1.1197,-1.1724,2.819
1.786000,-2.2340,-1.0562,-0.9712,2.655
1.792000,-2.1166,-0.9791,-0.7675,2.455
1.794000,-1.9818,-0.8980,-0.5746,2.250
1.800000,-1.8406,-0.8350,-0.4206,2.064
1.808000,-2.7787,-0.5711,0.1212,2.839
1.809000,-2.0604,-1.3233,-0.4042,2.482
1.815000,-2.7931,-2.7641,-0.6806,3.988
1.819000,-2.7494,-4.3510,-1.5520,5.376
1.826000,-1.3928,-3.7674,-0.6249,4.065
1.829000,-4.6004,-1.9599,-0.6750,5.046
1.835000,-6.8380,-0.8404,-0.3100,6.896
1.838000,-5.8537,-0.9163,-0.3610,5.936
1.845000,-3.4167,-1.3206,-0.9990,3.797
1.848000,-1.8023,-1.3118,-1.8223,2.879
1.855000,-0.9885,-1.1085,-2.4252,2.844
1.857000,-0.4264,-0.8260,-2.4452,2.616
1.863000,0.0370,-0.5203,-1.9434,2.012
1.867000,0.3168,-0.2842,-1.1917,1.265
1.875000,0.3175,-0.1779,-0.4540,0.582
1.878000,0.1398,-0.1926,0.1991,0.310
1.884000,-0.1510,-0.1501,0.7280,0.758
1.886000,-0.4960,-0.0776,1.1711,1.274
1.910000,-0.7734,-0.0151,1.5286,1.713
1.910000,-0.9004,0.0286,1.7518,1.970
1.911000,-0.8945,0.0599,1.8221,2.031
1.911000,-0.8203,0.0789,1.7776,1.959
1.911000,-0.7148,0.0938,1.6729,1.822
1.921000,-0.6164,0.1290,1.5296,1.654
1.921000,-0.5390,0.1861,1.3696,1.484
1.927000,-0.5038,0.2525,1.2097,1.335
1.932000,-0.5107,0.3048,1.0586,1.214
1.937000,-0.5558,0.3370,0.9243,1.130
1.941000,-0.6071,0.3663,0.8347,1.095
