time,gFx,gFy,gFz,TgF
1.750000,7.9939,-2.6224,0.8537,8.456
1.750000,7.9939,-2.4307,1.5701,8.502
1.755000,7.9939,-2.1856,2.1559,8.563
1.765000,7.9434,-1.8672,2.4520,8.520
1.766000,7.5178,-1.5117,2.3837,8.030
1.770000,7.0356,-1.2375,2.0047,7.420
1.774000,6.5748,-1.0590,1.3618,6.797
1.779000,6.1700,-0.8888,0.5182,6.255
1.784000,6.0103,-0.6087,-0.3249,6.050
1.789000,5.9913,-0.2613,-0.9929,6.079
1.797000,5.9517,0.0581,-1.4131,6.117
1.800000,5.9022,0.3281,-1.5550,6.112
1.803000,5.8956,0.5701,-1.4251,6.092
1.820000,5.8380,0.7852,-1.0603,5.985
1.821000,5.5657,0.9070,-0.5549,5.666
1.822000,5.0893,0.9202,-0.0101,5.172
1.825000,4.5234,0.8606,0.4904,4.631
1.829000,3.9108,0.8157,0.9262,4.101
1.833000,3.3011,0.8306,1.2119,3.613
1.838000,2.7507,0.8636,1.2937,3.160
1.843000,2.2983,0.8658,1.2180,2.741
1.848000,1.9608,0.8521,1.1108,2.409
1.853000,1.7472,0.8626,1.0559,2.216
1.857000,1.6315,0.8877,1.0893,2.153
1.863000,1.5441,0.8892,1.1272,2.108
1.867000,1.4493,0.8760,1.1526,2.049
1.872000,1.3565,0.8731,1.1868,2.003
1.878000,1.2520,0.8746,1.2620,1.981
1.882000,1.1246,0.8831,1.3777,1.986
1.887000,1.0496,0.8946,1.5516,2.076
1.891000,1.0240,0.9231,1.7918,2.261
1.900000,1.0440,0.9554,2.1192,2.548
1.902000,1.0709,0.9732,2.5221,2.908
1.908000,1.0433,0.9896,2.9516,3.283
1.930000,0.9009,1.0037,3.3496,3.611
1.931000,0.7000,1.0240,3.6990,3.901
1.931000,0.5581,1.0675,4.0069,4.184
1.932000,0.5352,1.1485,4.2628,4.447
1.932000,0.6905,1.2530,4.4083,4.635
1.936000,0.9664,1.3568,4.4229,4.726
1.940000,1.2755,1.4408,4.3248,4.734
1.945000,1.5682,1.5062,4.1258,4.664
1.950000,1.8510,1.5475,3.8643,4.556
1.954000,2.1239,1.5536,3.5955,4.456
1.960000,2.4155,1.5607,3.3147,4.388
1.965000,2.7200,1.5973,3.0009,4.354
1.969000,2.9773,1.5953,2.6449,4.290
1.974000,3.1389,1.5223,2.2799,4.168
1.979000,3.2620,1.4078,1.9483,4.052
1.984000,3.4249,1.2972,1.6805,4.029
1.989000,3.6458,1.2164,1.4383,4.104
1.994000,3.9093,1.1258,1.1985,4.241
1.999000,4.2016,1.0076,0.9504,4.424
2.004000,4.5080,0.8997,0.7519,4.658
2.009000,4.8315,0.7869,0.6401,4.937
2.020000,5.1113,0.6113,0.6154,5.184
2.022000,5.3350,0.3569,0.7077,5.394
2.026000,5.5142,0.0163,0.8799,5.584
2.052000,5.7044,-0.3621,1.1038,5.821
2.053000,5.9317,-0.7169,1.3018,6.115
2.054000,6.1544,-1.0053,1.4593,6.404
2.055000,6.3622,-1.2221,1.5640,6.665
2.055000,6.5702,-1.4335,1.5867,6.909
2.056000,6.7458,-1.6880,1.5508,7.125
2.059000,6.8390,-1.9961,1.4756,7.276
2.062000,6.8881,-2.3096,1.4007,7.399
2.067000,6.9435,-2.5967,1.3211,7.530
2.072000,7.0671,-2.8668,1.1951,7.719
2.078000,7.3005,-3.1598,1.0246,8.021
2.082000,7.6528,-3.4875,0.8005,8.448
2.086000,7.9939,-3.8295,0.5607,8.882
2.091000,7.9939,-4.1870,0.3244,9.030
2.096000,7.9939,-4.5628,0.0980,9.205
2.101000,7.9939,-4.8917,-0.0883,9.372
2.105000,7.9939,-5.0762,-0.2001,9.472
2.111000,7.9939,-5.3490,-0.3534,9.625
2.116000,7.9939,-5.6998,-0.4425,9.828
2.120000,7.9939,-5.8947,-0.3927,9.940
2.126000,7.8474,-5.8520,-0.2340,9.792
2.134000,7.3481,-5.8175,-0.0800,9.373
2.136000,6.9269,-5.8564,0.1002,9.071
2.141000,6.4987,-5.8620,0.2548,8.756
